item_id,name,image_url,calories,fat,saturatedFat,transFat,cholesterol,sodium,carbohydrates,fiber,sugar,proteins,is_dummy
MwARd9vbbAla4FHPwnbsmf,Small Frozen Fanta® Wild Cherry,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/f9a09538794c7a4d96d0d35b162390ff59bd3a01-1333x1333.png,130,0,0,0,0,60,34,0,34,0,False
X523x0h1RfuoK0pFR4AD3e,Value Dr Pepper®,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/f6305d42a948b195390db0330ed8e3e27edc4bec-1333x1333.png,190,0,0,0,0,60,52,0,51,0,False
HpO2rGNDdLIVDznXGJOUtA,Plain Iced Coffee Small,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/caf792d8628121dda45a1ec98e8afa2114cc6b07-1333x1333.png,150,8,4,0,25,30,21,0,21,1,False
picker_5523,Triple Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/09c8dac9db5fc5497a13bbf38dd03e089a64a8fa-1333x1333.png,988.515,60.705,24,1.35,220,713.475,49.91,2.305,8.96,71.5,False
picker_5541,Bacon Double Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/f777e1434b9f91997deeb724519d444fdf73463d-1333x1333.png,76.79,-3.444,-2.334,0,-16.667,12.193,27.37,0.83,5.02,0.516,False
0327a0e6-ded3-4c86-ab9b-0a5a71e6aa8a,Value Coca-Cola Zero,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/dba34ccf2ef928d85ef9bee3e3c183556b8c5de2-1333x1333.png,0,0,0,0,0,50,0,0,0,0,False
bef67622-5c59-43d1-aa95-2b07e76f204c,Double Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/ec3374f3e3ae162fabaf73a299b4d3042269ed6a-1333x1333.png,76.79,-3.11,-3,0,-15,18.86,27.37,0.83,5.02,0.85,False
d57cf1b7-83a0-4dec-9e21-949179f89321,Bacon Cheeseburger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/2ab802b49c46f0512bf084bf53579d8bafe31e95-1333x1333.png,326.79,15.89,7,0,45,648.86,27.37,0.83,5.02,17.85,False
picker_5521,Double Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/7acdb672ff1cf9256583e63571af8edef44f4e6d-1333x1333.png,738.515,40.705,17,0.5,135,653.475,47.91,2.305,8.96,51.5,False
picker_5520,Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/e8dfc0b5c84670d64195a6602ef7f99eb70fe764-1333x1333.png,485.215,21.705,9,0,70,583.475,46.92,1.975,8.63,30.5,False
e25ae714-ff81-4d54-922d-d4b7fd40e1e6,Value French Fries,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/5aa5755d8d547da80d9dbcb7ac2473eced0359ee-1333x1333.png,230,10,1,0,0,170,33,2,1,3,False
f312cd22-359c-477b-b304-165392984034,Spicy Royal Crispy Chicken,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/8cdac2ffd8bf5051805e183da880c00c22b230f1-1333x1333.png,753.15,46.97,8,0,80,1576.99,56.56,3.51,10.08,30.64,False
a82cf1b3-2ceb-4384-8276-770695610232,Rodeo Burger,https://cdn.sanity.io/images/czqk28jt/staging_bk_us/89605b9eb093decb45f2ad2b53d410d722250982-1333x1333.png,143.5,1.5,0,0,0,252.4,27.04,1,5.7,6,False
350370b8-2c9b-44ca-add8-be119c798311,Bacon and Swiss Royal Crispy Chicken,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/a8cf80160324591abe688191c5361e3e59bbb6bc-1333x1333.png,643.15,34.97,6,0,90,1516.99,52.56,3.51,8.08,34.64,False
cfc70b43-08e5-4faa-a7be-d9b2aec1b56d,8 Pc. Chicken Fries,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/33c78e8b9637002065dd79c71d8f72899c4b4b6a-1333x1333.png,220,12,2.5,0,40,680,16,1,0,13,False
33632d97-f064-4415-8604-afc35c0a81e5,Triple Whopper,https://cdn.sanity.io/images/czqk28jt/prod_bk_us/09c8dac9db5fc5497a13bbf38dd03e089a64a8fa-1333x1333.png,988.515,60.705,24,1.5,220,713.475,49.91,2.305,8.96,71.5,False
